cluster,url,repository_file,current_role,inbound_exact_href_files,in_sitemap,search_console,backlinks,ga4,crm_delivery,current_decision,proposed_destination,decision_state
medicare,/medicare/,medicare/index.html,canonical Medicare review,69,yes,"0 clicks; 3544 impressions; 0% CTR; position 46.85","GSC property external links total 0; GSC internal links 12","13 active users; 5 engaged sessions; 2 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep,,preserve pending measurement evidence
medicare,/medicare-broker-lakeland-fl/,medicare-broker-lakeland-fl/index.html,seasonal local broker review,21,yes,"0 clicks; 12962 impressions; 0% CTR; position 56.24","GSC property external links total 0; GSC internal links 6","2 active users; 3 engaged sessions; 1 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,compare,/medicare/,blocked pending measurement evidence
medicare,/best-medicare-broker-lakeland-fl/,best-medicare-broker-lakeland-fl/index.html,broker selection checklist,20,yes,"1 click; 11506 impressions; under 0.01% CTR; position 44.97","GSC property external links total 0; GSC internal links 5","8 active users; 4 engaged sessions; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,compare,/medicare/,blocked pending measurement evidence
medicare,/local-health-insurance-answers/medicare-plan-help-lakeland/,local-health-insurance-answers/medicare-plan-help-lakeland/index.html,local direct answer,1,yes,unavailable,unavailable,unavailable,unavailable,compare,/medicare/,blocked pending external evidence
medicare,/blog/turning-65-medicare-checklist-florida.html,blog/turning-65-medicare-checklist-florida.html,turning 65 checklist,3,yes,unavailable,unavailable,unavailable,unavailable,keep distinct unless evidence disproves,,preserve pending external evidence
medicare,/blog/when-can-i-switch-medicare-plans-florida.html,blog/when-can-i-switch-medicare-plans-florida.html,switching window guide,18,yes,"1 click; 136 impressions; 0.74% CTR; position 18.84","GSC property external links total 0; target not listed among 41 internal-link rows","1 active user; 1 engaged session; 0 raw generate_lead; QA exclusions unavailable",not applicable by owner direction,keep distinct unless evidence disproves,,preserve pending measurement evidence
medicare,/lp/medicare/,lp/medicare/index.html,conversion landing page,6,no,unavailable,unavailable,unavailable,unavailable,keep outside sitemap,,preserve pending external evidence
self-employed,/self-employed-health-insurance/,self-employed-health-insurance/index.html,canonical projected income guide,2,yes,not returned by linked report filter,"GSC property external links total 0; target not listed among 41 internal-link rows",not returned by linked report filter,not applicable by owner direction,keep,,preserve pending measurement evidence
self-employed,/blog/health-insurance-self-employed-lakeland-polk-county-2026.html,blog/health-insurance-self-employed-lakeland-polk-county-2026.html,dated local guide,1,yes,unavailable,unavailable,unavailable,unavailable,compare,/self-employed-health-insurance/,blocked pending external evidence
self-employed,/blog/freelancer-health-insurance-lakeland-2026.html,blog/freelancer-health-insurance-lakeland-2026.html,freelancer local guide,15,yes,unavailable,unavailable,unavailable,unavailable,compare,/self-employed-health-insurance/,blocked pending external evidence
